,ID,RA,Dec,redshift,M_gal,host_ID,host_RA,host_Dec,host_redshift
4600276,17988119,-0.2508703681173176,0.3045679831062753,2.920389889349752,6261579537.875706,20672809.0,-0.24983641233202286,0.30801933081691824,3.3751092841652484
4600278,17988121,-0.25077325751205093,0.30504128480625636,2.9203978331605844,1342276509.3570387,20672809.0,-0.24983641233202286,0.30801933081691824,3.3751092841652484
7284971,20672814,-0.25240274163636867,0.30836902773947494,3.3750473656736166,23566597648.45761,20672809.0,-0.24983641233202286,0.30801933081691824,3.3751092841652484
7284980,20672823,-0.2474930934438322,0.30876799526193255,3.3753453121610937,1326329453.3530881,20672809.0,-0.24983641233202286,0.30801933081691824,3.3751092841652484
7285049,20672892,-0.2516314731907139,0.3075140179631899,3.375302548107681,2766648803.877853,20672809.0,-0.24983641233202286,0.30801933081691824,3.3751092841652484
425344,13813187,-0.39333037431698037,-0.32008886936851244,2.0520871925100512,7139761910.957054,14645056.0,-0.39275820572053766,-0.323627527995805,2.128644775678475
425388,13813231,-0.3926507689309271,-0.3211773439980326,2.052911314100838,3104893864.7970295,14645056.0,-0.39275820572053766,-0.323627527995805,2.128644775678475
2243912,15631755,-0.3938522692797757,-0.3265287477701365,2.4165033664737363,1596323911.6620195,14645056.0,-0.39275820572053766,-0.323627527995805,2.128644775678475
1456655,14844498,-0.021748022996703087,0.41264515654866996,2.2337430121511392,10391641484.969528,14844409.0,-0.024376923323196575,0.4134721454000758,2.233264082941516
2276172,15664015,-0.02449861972194889,0.41390191755796524,2.4748900137072263,2361125172.656424,14844409.0,-0.024376923323196575,0.4134721454000758,2.233264082941516
549613,13937456,-0.49481527718041096,0.38245359159176295,2.074379456303007,1585084155.994023,13937445.0,-0.4948001283168816,0.38269556581592135,2.074393289957357
1117527,14505370,0.42904096155884164,-0.23192361132414058,2.177507527456779,1160361992.5718546,13831176.0,0.42975751861686917,-0.229518565695907,2.067945588915279
2960160,16348003,0.42753786938383365,-0.23102885622585168,2.5190950300190784,1390320250.57999,13831176.0,0.42975751861686917,-0.229518565695907,2.067945588915279
374790,13762633,0.0295811070965174,0.45051945486992795,2.045616366514038,1556925959.4937816,13762614.0,0.029078630004027772,0.44979016837680685,2.045768283902376
374803,13762646,0.029328487181037866,0.4500851674964468,2.04569975822064,20161386306.05361,13762614.0,0.029078630004027772,0.44979016837680685,2.045768283902376
394881,13782724,0.02841935029262943,0.4482359854007719,2.0461646556651685,1179182599.7425256,13762614.0,0.029078630004027772,0.44979016837680685,2.045768283902376
2976821,16364664,0.030384324828354403,0.4500578952004498,2.521695169973228,6670463191.302497,13762614.0,0.029078630004027772,0.44979016837680685,2.045768283902376
3822188,17210031,-0.10789437558100767,-0.06751056627458363,2.6755437582175463,1023252296.4467262,17210014.0,-0.1079354570390682,-0.06670300028053833,2.675787358010623
3822190,17210033,-0.10946787755511478,-0.06435872458749847,2.675890171996325,3643246346.383499,17210014.0,-0.1079354570390682,-0.06670300028053833,2.675787358010623
3822210,17210053,-0.1089108809190843,-0.07073351490552388,2.675132324630796,4259031050.742481,17210014.0,-0.1079354570390682,-0.06670300028053833,2.675787358010623
5305600,18693443,-0.11148854575349437,-0.06841795844204568,3.1168747415581874,6604302457.014038,17210014.0,-0.1079354570390682,-0.06670300028053833,2.675787358010623
5305603,18693446,-0.11058010963903991,-0.06778517000326839,3.117093511730717,1192938872.3468297,17210014.0,-0.1079354570390682,-0.06670300028053833,2.675787358010623
5305638,18693481,-0.10760083360361172,-0.06891624059331353,3.117263105786848,2371953532.684112,17210014.0,-0.1079354570390682,-0.06670300028053833,2.675787358010623
6848743,20236586,-0.2874372547851577,-0.39870037516566914,3.506729902632592,1328275707.5780945,21928350.0,-0.29050016067157736,-0.397635278337528,3.927232828715325
8206633,21594476,-0.2875701828029884,-0.3949856414651128,3.6794497971302658,1007067111.7915055,21928350.0,-0.29050016067157736,-0.397635278337528,3.927232828715325
8540508,21928351,-0.28999051822731453,-0.39847025193816416,3.92729868175529,1594139167.93759,21928350.0,-0.29050016067157736,-0.397635278337528,3.927232828715325
3544493,16932336,0.4495346265939856,-0.015144663345871778,2.6226209234786166,16453124739.737926,17918944.0,0.4525602900900594,-0.014405229183857393,2.9347308960821414
3927814,17315657,0.45627477027797003,-0.012911751270198946,2.703102091869661,1775718895.5899198,17918944.0,0.4525602900900594,-0.014405229183857393,2.9347308960821414
3927825,17315668,0.4565592212787192,-0.014965357587180594,2.7029669557535736,2386781675.940648,17918944.0,0.4525602900900594,-0.014405229183857393,2.9347308960821414
4531130,17918973,0.45215546505239956,-0.015313710835851813,2.9348415399715857,3577396926.737541,17918944.0,0.4525602900900594,-0.014405229183857393,2.9347308960821414
4531168,17919011,0.45608618074793084,-0.01459322828075349,2.9349678972566644,1066704424.6730226,17918944.0,0.4525602900900594,-0.014405229183857393,2.9347308960821414
11091845,24479688,-0.29772774200593377,0.1905853025722981,4.707826590517533,1000837701.2984375,25030975.0,-0.29755034545675496,0.1924373436250476,4.55012145077416
4065036,17452879,0.4329341116304892,-0.39369658040212335,2.76590278940944,4075464823.96654,17914478.0,0.43284982916952275,-0.39771883682660203,2.937494610062992
8596875,21984718,-0.30852190597597906,-0.21849793265736428,3.7510854274830843,2296755568.2889266,23215110.0,-0.3091446219398717,-0.21458808280510488,3.990923301023512
9827285,23215128,-0.30626928447839513,-0.21277505892619064,3.991192203795124,5777820954.704929,23215110.0,-0.3091446219398717,-0.21458808280510488,3.990923301023512
9827286,23215129,-0.3074207663323749,-0.2121587049659412,3.9913925300151054,3356452595.704546,23215110.0,-0.3091446219398717,-0.21458808280510488,3.990923301023512
9827289,23215132,-0.30679748099128273,-0.2127700780936953,3.991112409612156,2550308694.084596,23215110.0,-0.3091446219398717,-0.21458808280510488,3.990923301023512
9827364,23215207,-0.3102690501825187,-0.21793854987435496,3.9894016868256332,1438799515.5279634,23215110.0,-0.3091446219398717,-0.21458808280510488,3.990923301023512
