id,ra,dec,host_ra,host_dec,host_name,our_id,nbr_name
783764,150.08713065479782,2.3921706052002443,150.08728,2.3960431,NA,3,NA
783888,150.0848182031842,2.3940290656325716,150.08728,2.3960431,NA,3,NA
783964,150.08725744423617,2.3937652413696044,150.08728,2.3960431,NA,3,NA
784079,150.08468758664,2.3956026343404173,150.08728,2.3960431,NA,3,NA
784159,150.087583257383,2.3952529263200746,150.08728,2.3960431,NA,3,NA
784266,150.0878415594062,2.3959141705870723,150.08728,2.3960431,NA,3,NA
784406,150.08811075348842,2.396759943978593,150.08728,2.3960431,NA,3,NA
784557,150.08634676651428,2.398429698290596,150.08728,2.3960431,NA,3,NA
784569,150.08804692580466,2.3980034793004497,150.08728,2.3960431,NA,3,NA
784580,150.0872731313591,2.398398619842474,150.08728,2.3960431,NA,3,NA
784614,150.0888055969992,2.3980801527118785,150.08728,2.3960431,NA,3,NA
784646,150.0899098858085,2.397962033688261,150.08728,2.3960431,NA,3,NA
784663,150.08763582274253,2.398937107675666,150.08728,2.3960431,NA,3,NA
614117,150.43479151899297,2.462610033641731,150.43732,2.46392,Huong-Giang,4,Huong-Giang HX1
614284,150.43990467873942,2.4623422303607203,150.43732,2.46392,Huong-Giang,4,Huong-Giang HX2
614318,150.4394527848457,2.4628028773507977,150.43732,2.46392,Huong-Giang,4,Huong-Giang HX3
614521,150.43498609478053,2.46606877397473,150.43732,2.46392,Huong-Giang,4,Huong-Giang HX4
614660,150.44101910900008,2.4649617170321125,150.43732,2.46392,Huong-Giang,4,Huong-Giang HX5
641810,150.43924907274896,2.46244229395118,150.43732,2.46392,Huong-Giang,4,Huong-Giang HX6
642465,150.4367903458159,2.466867855957659,150.43732,2.46392,NA,4,NA
642503,150.43617696618824,2.46748197327452,150.43732,2.46392,NA,4,NA
614192,150.45092213957858,2.457498557540355,150.45459,2.455994,Thu-Bon,5,Thu-Bon HX1
661790,150.4580297516717,2.453779059568166,150.45459,2.455994,Thu-Bon,5,Thu-Bon HX2
661825,150.4558145351515,2.4550570934000135,150.45459,2.455994,Thu-Bon,5,Thu-Bon HX3
661910,150.4526701569536,2.457093661985949,150.45459,2.455994,Thu-Bon,5,Thu-Bon HX4
662039,150.4542304119719,2.4577650030961555,150.45459,2.455994,Thu-Bon,5,Thu-Bon HX5
662092,150.4525310883153,2.4589724609656347,150.45459,2.455994,Thu-Bon,5,Thu-Bon HX6
683386,150.457598919319,2.4537255089481955,150.45459,2.455994,Thu-Bon,5,Thu-Bon HX7
659472,150.4575985430771,2.4278950017000698,150.4612,2.429547,Dong-Nai,6,Dong-Nai HX1
659600,150.46222769569133,2.427492272478133,150.4612,2.429547,Dong-Nai,6,Dong-Nai HX2
659694,150.45751775491104,2.4299732506506024,150.4612,2.429547,Dong-Nai,6,Dong-Nai HX3
659753,150.4637808709928,2.42827097899633,150.4612,2.429547,Dong-Nai,6,Dong-Nai HX4
